iter	Passed	Remaining
0	1	1448
1	2	1262
2	3	1058
3	3	927
4	4	862
5	4	806
6	5	770
7	6	750
8	6	725
9	7	719
10	7	707
11	8	697
12	9	688
13	9	675
14	10	664
15	10	656
16	11	646
17	11	641
18	12	633
19	12	626
20	13	626
21	14	627
22	14	625
23	15	622
24	15	617
25	16	613
26	16	610
27	17	608
28	18	605
29	18	601
30	19	600
31	19	600
32	20	603
33	21	601
34	21	598
35	22	594
36	22	594
37	23	593
38	23	589
39	24	588
40	25	588
41	25	586
42	26	589
43	27	588
44	27	586
45	28	585
46	28	583
47	29	581
48	29	579
49	30	576
50	30	575
51	31	572
52	32	573
53	32	573
54	33	573
55	33	571
56	34	569
57	34	567
58	35	565
59	36	564
60	36	562
61	37	562
62	37	561
63	38	560
64	38	559
65	39	558
66	40	557
67	40	555
68	41	555
69	41	554
70	42	552
71	42	551
72	43	550
73	43	548
74	44	548
75	45	550
76	45	551
77	46	550
78	47	548
79	47	547
80	48	545
81	48	545
82	48	541
83	49	540
84	50	539
85	50	539
86	51	538
87	51	538
88	52	536
89	53	535
90	53	534
91	54	533
92	54	532
93	55	531
94	55	530
95	56	528
96	56	528
97	57	527
98	57	527
99	58	526
100	58	525
101	59	523
102	60	523
103	60	522
104	61	520
105	61	520
106	62	520
107	62	520
108	63	519
109	64	518
110	64	518
111	65	517
112	65	517
113	66	516
114	67	516
115	67	515
116	68	513
117	68	512
118	69	512
119	70	514
120	70	515
121	71	516
122	72	517
123	73	516
124	73	515
125	74	515
126	74	513
127	75	513
128	76	513
129	76	513
130	77	512
131	77	511
132	78	510
133	78	510
134	79	509
135	80	508
136	80	507
137	81	507
138	81	506
139	82	507
140	83	506
141	83	504
142	84	504
143	84	503
144	85	502
145	85	501
146	86	501
147	86	500
148	87	500
149	88	499
150	88	499
151	89	498
152	89	497
153	90	497
154	91	496
155	91	495
156	92	494
157	92	494
158	93	493
159	94	493
160	94	492
161	95	492
162	95	492
163	96	491
164	97	493
165	98	493
166	98	493
167	99	492
168	100	492
169	100	492
170	101	492
171	102	491
172	102	490
173	103	489
174	103	488
175	104	487
176	104	487
177	105	486
178	105	485
179	106	484
180	107	484
181	107	484
182	108	483
183	108	482
184	109	482
185	109	480
186	110	479
187	110	479
188	111	478
189	112	478
190	113	479
191	113	479
192	114	479
193	115	479
194	115	478
195	116	478
196	117	478
197	118	478
198	118	478
199	119	478
200	120	477
201	120	477
202	121	476
203	121	475
204	122	474
205	122	474
206	123	473
207	124	473
208	125	473
209	125	473
210	126	472
211	126	471
212	127	471
213	128	470
214	128	470
215	129	469
216	130	469
217	130	469
218	131	468
219	132	468
220	132	467
221	133	466
222	133	466
223	134	465
224	134	464
225	135	463
226	135	462
227	136	462
228	137	461
229	137	461
230	138	460
231	139	460
232	139	459
233	140	458
234	140	458
235	141	457
236	142	457
237	142	456
238	143	456
239	144	456
240	144	455
241	145	454
242	145	454
243	146	453
244	146	452
245	147	452
246	148	451
247	148	450
248	149	450
249	149	449
250	150	449
251	151	448
252	151	447
253	152	447
254	152	446
255	153	445
256	154	445
257	154	444
258	155	444
259	156	444
260	156	444
261	157	443
262	157	442
263	158	441
264	159	441
265	159	440
266	160	439
267	160	439
268	161	438
269	162	438
270	162	437
271	163	436
272	163	435
273	164	435
274	164	434
275	165	434
276	166	433
277	166	432
278	167	432
279	167	431
280	168	431
281	168	430
282	169	429
283	170	428
284	170	427
285	171	427
286	171	426
287	172	425
288	172	424
289	173	424
290	173	423
291	174	423
292	175	422
293	175	421
294	176	421
295	176	420
296	177	419
297	177	418
298	178	418
299	178	417
300	179	416
301	180	416
302	180	415
303	181	415
304	181	414
305	182	413
306	183	413
307	183	412
308	184	411
309	184	411
310	185	410
311	186	410
312	186	409
313	187	409
314	187	408
315	188	407
316	188	407
317	189	406
318	190	405
319	190	405
320	191	404
321	191	403
322	192	403
323	193	402
324	193	402
325	194	401
326	194	401
327	195	400
328	196	399
329	196	399
330	197	398
331	197	397
332	198	397
333	198	396
334	199	396
335	200	395
336	200	394
337	201	393
338	201	393
339	202	392
340	202	391
341	203	390
342	203	390
343	204	389
344	204	389
345	205	388
346	206	387
347	206	387
348	207	386
349	207	386
350	208	385
351	208	384
352	209	384
353	210	383
354	210	383
355	211	382
356	211	381
357	212	381
358	213	380
359	213	380
360	214	379
361	214	378
362	215	378
363	216	377
364	216	376
365	217	376
366	217	375
367	218	374
368	218	374
369	219	373
370	220	373
371	220	372
372	221	371
373	221	371
374	222	370
375	222	369
376	223	369
377	223	368
378	224	367
379	224	367
380	225	366
381	226	365
382	226	365
383	227	364
384	227	363
385	228	363
386	228	362
387	229	361
388	229	361
389	230	360
390	231	360
391	231	359
392	232	358
393	232	358
394	233	357
395	233	356
396	234	356
397	235	355
398	235	355
399	236	354
400	236	353
401	237	353
402	237	352
403	238	351
404	238	351
405	239	350
406	239	349
407	240	348
408	241	348
409	241	347
410	242	347
411	242	346
412	243	345
413	243	345
414	244	344
415	244	343
416	245	343
417	245	342
418	246	341
419	246	340
420	247	340
421	248	339
422	248	339
423	249	338
424	249	337
425	250	337
426	250	336
427	251	335
428	251	335
429	252	334
430	253	334
431	253	333
432	254	332
433	254	332
434	255	331
435	255	330
436	256	330
437	256	329
438	257	328
439	257	328
440	258	327
441	259	327
442	259	326
443	260	325
444	260	325
445	261	324
446	261	323
447	262	323
448	262	322
449	263	321
450	263	321
451	264	320
452	265	319
453	265	319
454	266	318
455	266	318
456	267	317
457	267	317
458	268	316
459	268	315
460	269	315
461	269	314
462	270	313
463	271	313
464	271	312
465	272	312
466	272	311
467	273	310
468	273	310
469	274	309
470	274	308
471	275	308
472	275	307
473	276	306
474	277	306
475	277	305
476	278	305
477	278	304
478	279	304
479	280	303
480	280	302
481	281	302
482	281	301
483	282	301
484	282	300
485	283	299
486	284	299
487	285	299
488	285	298
489	286	297
490	286	297
491	287	296
492	287	295
493	288	295
494	289	294
495	289	294
496	290	293
497	290	293
498	291	292
499	292	292
500	292	291
501	293	290
502	294	290
503	294	290
504	295	289
505	295	288
506	296	288
